"Y"  "X1" "X2" "X3" "X4" "X5"
9 0.985 3744.3 6 12 8
12 0.985 16680 4 12 8
0 0.985 5833.1 99 12 10
7 0.985 2845.1 4 12 4
4 0.983 5726.4 99 12 10
7 0.976 5133.5 4 12 4
5 0.969 5716.8 99 12 10
9 1.114 6730.9 4 12 4
10 1.007 19710 78 12 10
10 0.957 16792.7 10 12 4
2 1.049 10007.4 94 12 10
5 1.044 10185.2 94 12 10
9 1.041 6174.9 99 12 10
11 1.18 22930 6 12 8
3 1.034 7246.8 4 12 11
14 0.931 16680 4 12 8
8 1.023 7970 70 12 8
9 0.975 18850 46 12 8
11 0.926 21706.3 46 12 10
2 0.923 10001 12 12 5
4 0.994 5607.3 4 12 3
4 1.011 5677.778 70 12 10
9 1.01 12604.4 22 12 11
2 1.008 5677.778 70 12 10
3 1.008 5677.778 70 12 10
3 1.007 5677.778 70 12 10
6 1.082 5163.8 22 12 8
8 1 12396.7 22 12 11
8 1 11983.7 22 12 11
16 0.906 41533.6 4 12 6
9 0.9 5174.2 4 12 4
11 0.944 26760 46 12 8
7 0.892 21474.8 46 12 8
9 0.888 4239.7 99 12 10
7 0.888 7970 69 12 11
7 0.88 10620 70 12 13
3 0.973 11825 70 12 10
8 0.953 5420 4 12 4
10 0.874 9034.8 99 12 10
10 0.968 15610 46 12 8
5 0.966 5711.9 99 12 10
13 1.059 38688.9 46 12 8
10 0.868 15087.8 22 12 8
10 0.868 20700 46 12 8
7 0.864 12780 99 12 11
7 0.863 25777.3 46 12 10
10 0.955 26193.3 46 12 8
11 0.871 24400 75 12 10
8 0.903 24940 22 12 8
4 0.95 5698.7 99 12 10
2 0.854 5797.8 4 12 8
10 0.886 20700 48 12 10
13 0.853 15164.9 4 12 3
15 0.85 58800 6 12 1
10 0.84 18671 16 12 10
5 0.881 6970 4 12 4
7 0.927 5859 4 12 4
7 0.833 5897.7 46 12 10
5 0.829 5710.7 72 12 10
9 1.532 16000 12 12 8
10 0.92 15506.9 4 12 4
5 0.919 5467.6 99 12 8
9 0.824 15059.6 4 12 8
3 1.011 10460 94 12 10
10 0.865 25480.44 12 12 8
8 0.91 5927.2 70 12 10
12 0.816 20290 4 12 6
10 0.861 15503.5 22 12 8
9 0.814 25097.8 40 12 8
9 0.795 20917.5 0 12 3
3 0.795 2890 4 12 4
8 0.857 13871.6 99 12 8
7 0.79 3790 0 12 4
10 0.785 14804.2 4 12 8
9 0.876 23080 46 12 8
8 0.873 25010.4 46 12 8
7 0.964 19155.89 14 12 8
11 0.903 14320 36 12 8
15 0.761 51300 16 12 6
10 0.758 25195.5 40 12 8
10 0.758 17133.33 14 12 8
10 0.78 23881 4 12 4
5 0.753 8240 4 12 6
8 0.841 25949.4 40 12 8
9 0.794 13180 77 12 10
10 0.743 6218.6 99 12 10
9 0.74 13050 0 12 2
8 0.78 10150 4 12 4
10 0.731 32050 61 12 8
11 0.731 15759 70 12 10
10 0.729 20700 48 12 8
10 0.819 32050 61 12 10
3 0.725 3010 4 12 7
6 0.72 25390 46 12 10
10 0.719 24400 72 12 10
15 0.717 15338.2 8 12 4
7 0.81 14012.9 0 12 8
11 0.716 17964.6 12 12 8
7 0.712 5706.7 99 12 10
8 0.897 7000 99 12 8
8 0.753 13863.1 99 12 8
7 0.767 6202.9 4 12 4
11 0.704 13490 39 12 8
2 0.782 2970 99 12 10
5 0.792 4007.3 4 12 8
8 0.792 26460 22 12 8
14 0.791 27006.2 22 12 8
2 0.79 10493.25 94 12 10
8 0.69 14270 0 12 4
4 1.113 6578.5 0 12 8
11 0.782 24750 4 12 0
6 0.733 6038.2 99 12 10
11 0.684 14860.3 4 12 8
8 0.729 16774.1 22 12 8
9 0.727 25204.89 12 12 8
7 0.724 12959 22 12 8
3 0.675 5727.7 72 12 10
7 0.768 9470 70 12 11
5 0.673 9958.4 94 12 10
7 0.67 15190 22 12 8
4 0.666 3018 4 12 4
5 0.711 14215 20 12 8
10 0.664 24400 72 12 10
19 0.66 58800 6 12 8
8 0.754 25846.2 40 12 8
9 0.752 11913.3 12 12 8
11 0.852 22050 22 12 8
6 0.747 18602.1 22 12 8
6 0.653 3676.9 4 12 4
7 0.652 12780 99 12 11
9 0.651 18614 22 12 8
9 0.645 25768.8 40 12 8
8 0.639 3964.6 4 12 8
7 0.63 11490 94 12 10
12 0.817 39165 34 12 8
0 0.629 8390 99 12 10
5 0.674 8040 99 12 8
4 0.719 10221.4 94 12 10
3 0.719 10336.8 70 12 10
13 0.625 78300 42 12 8
7 0.625 2903.8 4 12 4
2 0.624 10001 12 12 5
7 0.671 12267.4 12 12 8
14 0.623 58800 6 12 2
6 0.957 5689.3 4 12 11
14 0.617 26725.4 80 12 6
8 0.664 22758.3 46 12 8
7 0.616 16785 10 12 4
6 0.613 12780 99 12 11
11 0.705 38675.6 50 12 6
4 0.611 22220 46 12 10
9 0.705 13889.2 99 12 8
11 0.658 13275.5 0 12 8
3 0.61 5800 0 12 7
10 0.703 27613.6 40 12 8
13 0.797 45400 46 12 8
11 0.608 24400 71 12 10
10 0.608 11619.4 12 12 8
11 0.7 50652.6 16 12 8
4 0.696 11732.6 0 12 6
8 0.602 6218.2 4 12 4
7 0.646 14920 77 12 10
4 0.688 9470 70 12 11
10 0.591 20700 48 12 8
9 0.59 29987.6 80 12 10
7 0.59 13050 0 12 2
6 0.637 12114.5 22 12 11
5 0.589 4451.6 4 12 4
0 0.588 14601.75 70 12 10
5 0.58 3007 4 12 4
4 0.578 8240 4 12 6
7 0.624 4123.9 0 12 2
6 0.577 3778 6 12 8
3 0.577 3074.9 4 12 4
7 0.575 3264.2 4 12 7
5 0.574 5722.9 99 12 10
3 0.62 7993.7 22 12 8
7 0.57 11874.8 4 12 8
8 0.568 26071.3 22 12 8
13 0.662 32422.3 20 12 8
8 1.117 23743.8 12 12 10
6 0.564 15610 46 12 8
6 0.563 10620 70 12 13
8 0.561 21497.3 46 12 8
8 0.66 14714.3 22 12 8
8 0.683 13198.9 46 12 8
8 0.616 16066.7 22 12 10
4 0.682 5606.4 99 12 13
8 0.74 24666.1 46 12 10
14 0.55 78300 36 12 8
2 0.55 5730.4 14 12 10
6 0.546 12780 80 12 11
9 0.78 24750 16 12 6
6 0.545 12780 80 12 11
8 0.591 6190 4 12 4
2 0.637 10361.8 70 12 10
8 0.59 17290 22 12 8
10 0.542 25810.8 46 12 10
12 0.563 52404.2 44 12 8
5 0.587 4129 99 12 10
9 0.54 25322.8 40 12 8
5 0.539 5709.4 99 12 10
4 0.584 12810 22 12 11
10 0.537 13490 39 12 8
7 0.63 13840.3 70 12 8
13 0.63 54650 46 12 8
5 0.63 22220 46 12 10
7 0.536 24624.7 46 12 10
7 0.535 13490 39 12 8
0 0.815 5900 14 12 8
8 0.898 25320 12 12 2
3 0.568 5444.7 99 12 10
6 0.542 16416.8 14 12 8
4 0.528 12780 80 12 11
5 0.528 2325 46 12 8
13 0.526 43224.6 12 12 8
10 0.532 32667.6 20 12 8
8 0.655 18580.2 22 12 8
6 0.52 6045.5 96 12 10
10 0.566 12253.8 15 12 8
4 0.517 2430 4 12 2
4 0.705 7526.1 22 12 8
9 0.517 20700 46 12 8
8 0.516 11617 12 12 8
4 0.516 3765 4 12 2
10 0.516 30126.8 46 12 10
3 0.516 3288.9 4 12 8
7 1.136 12020 12 12 4
7 0.512 12780 99 12 11
5 0.559 5189.1 4 12 3
2 0.511 5777.1 4 12 10
8 0.643 31600 16 12 8
4 0.525 2970 99 12 10
9 0.508 32050 47 12 10
10 0.508 32902.2 22 12 8
7 0.507 24400 46 12 10
7 0.506 12780 80 12 11
14 0.599 58800 6 12 2
13 0.975 17720 0 12 4
7 0.503 11614 12 12 8
7 0.502 25971.6 40 12 8
7 0.501 15011 4 12 8
4 0.5 17344.5 70 12 10
7 0.5 12780 80 12 11
2 0.5 3740 4 12 8
7 0.499 10990.2 4 12 4
10 0.499 32050 51 12 8
8 0.593 25565.7 22 12 8
6 0.496 7532.7 4 12 11
3 0.494 8850 22 12 8
5 0.494 5987.2 46 12 8
3 0.493 9876.1 22 12 8
8 0.53 2801.7 4 12 4
0 0.493 1770 4 12 8
5 0.587 7970 70 12 11
5 0.492 6005.4 4 12 4
9 0.492 17640 4 12 8
5 0.491 10510 46 12 8
8 0.486 16680 4 12 8
2 0.485 5854.7 4 12 4
7 0.485 12780 80 12 11
8 0.578 17650 46 12 8
8 0.531 25272.33 12 12 8
5 0.483 16796 10 12 4
4 0.52 4041.2 4 12 4
7 0.514 11780 46 12 8
5 0.577 8150 22 12 8
3 0.53 2430 4 12 3
5 0.48 11737.2 4 12 4
7 0.572 15445.1 4 12 4
2 0.478 5153.4 22 12 8
12 0.524 37000 48 12 10
5 0.57 18620.3 22 12 8
3 0.476 5732.6 14 12 10
8 0.473 13180 99 12 10
5 0.518 6168.5 96 12 10
9 0.471 25387.8 40 12 8
4 0.564 12780 80 12 11
18 0.47 59997 6 12 2
7 0.47 16779.7 10 12 4
11 0.469 39161.9 50 12 6
8 0.467 13849 70 12 8
2 0.46 3740 4 12 8
10 0.553 27257.8 46 12 8
7 0.458 11155.6 0 12 6
12 0.454 7253.8 0 12 6
8 0.547 11910.6 12 12 8
8 0.5 13827 70 12 10
6 0.688 7102.9 22 12 8
5 0.453 15800 36 12 16
5 0.45 5487.4 99 12 8
10 0.448 28704.2 99 12 8
8 0.448 12020 0 12 10
6 0.566 11910.6 12 12 8
3 0.493 11370 30 12 13
8 0.507 11623.5 12 12 8
11 0.445 16680 4 12 8
7 0.492 7970 69 12 11
0 0.537 10263.2 70 12 10
0 0.49 10001 12 12 5
7 0.44 17650 46 12 8
6 0.579 11913.3 12 12 8
7 0.438 13899.8 70 12 10
2 0.438 5685.1 99 12 10
9 0.436 17340 46 12 8
3 0.436 5502.4 99 12 10
10 0.436 9879.5 4 12 2
5 0.436 5485 99 12 8
5 0.436 7481.7 4 12 11
6 0.434 22775.7 46 12 8
5 0.48 3529.8 22 12 8
7 0.432 4367.5 4 12 4
7 0.432 24529.5 46 12 10
5 0.43 13334.3 50 12 10
6 0.428 3790 0 12 4
3 0.428 5550 34 12 13
7 0.474 26760 46 12 8
7 0.52 35200 80 12 8
3 0.425 5475.1 99 12 8
2 0.476 2977 4 12 4
7 0.515 15610 46 12 8
5 0.561 7000 4 12 8
5 0.42 17487.7 14 12 8
8 0.419 34248.5 31 12 8
9 0.418 24750 4 12 0
8 0.416 11360 0 12 2
5 0.416 3488.6 60 12 8
6 0.415 28501.5 20 12 8
3 0.507 5677.778 70 12 10
10 0.505 18850 46 12 8
4 0.505 5677.778 70 12 10
9 0.413 32524.6 20 12 8
13 0.41 60841.7 6 12 8
11 0.41 18023.5 12 12 8
9 0.503 49250 46 12 8
5 0.408 10955.8 80 12 11
7 0.548 15372.6 22 12 10
8 0.453 15752.7 22 12 10
2 0.517 8271.6 94 12 10
5 0.402 6111 0 12 4
9 0.399 26998.7 22 12 8
2 0.398 3292 4 12 8
4 0.398 3282.9 4 12 4
8 0.398 25455.9 40 12 8
7 0.398 16777.1 10 12 4
4 0.397 5481.3 99 12 8
8 0.49 13450 22 12 8
10 0.395 25787.1 46 12 10
8 0.489 39182.6 46 12 8
10 0.441 21490 78 12 10
3 0.393 5156.3 22 12 8
7 0.44 17945.3 0 12 10
7 0.448 9625.7 14 12 8
9 0.391 26405.5 19 12 8
9 0.39 31600 46 12 8
3 0.39 10620 70 12 13
17 0.426 58800 6 12 2
11 0.419 24887.6 6 12 8
2 0.479 2982 4 12 4
21 0.392 60100 6 12 2
12 0.562 67800 12 12 8
2 0.381 2993 4 12 4
0 0.381 5704.9 99 12 10
3 0.385 10414.75 94 12 10
8 0.473 7710 4 12 4
2 0.379 12780 99 12 11
6 0.378 15286.9 47 12 8
4 0.472 3947 4 12 8
2 0.378 8390 60 12 10
12 0.403 51300 16 12 6
3 0.376 5971.8 46 12 10
7 0.375 21511.9 46 12 8
7 0.374 9030.6 99 12 10
5 0.373 10001 12 12 5
9 0.373 44780.9 42 12 8
7 0.42 12760 6 12 8
6 0.373 15190 22 12 8
3 0.372 5720.7 99 12 10
6 0.372 13490 39 12 8
6 0.416 12689.9 22 12 11
6 0.415 17190 22 12 8
5 0.385 16000 0 12 8
6 0.366 14920 77 12 10
2 0.364 3015 4 12 4
